Taxon14,PreciseTaxon,Identity,Classification,ReadCount,ASVCount,Phylum,Reason
Crustacea,Taxon15,Maxillopoda,Meiofauna,716587,202,Arthropoda,Traditionally considered a meiofanal group
Crustacea,Taxon15,Malacostraca,Macrofauna,138801,24,Arthropoda,All surveyed malacostracans are large
Crustacea,Taxon15,Ostracoda,Meiofauna,5866,12,Arthropoda,Traditionally considered a meiofaunal group
Gastropoda,Taxon16,Lepetodrilus elevatus,Macrofauna,1283224,52,Mollusca,Holotype 6.6 mm x 4.8 mm x 2.9 mm
Gastropoda,Taxon16,Depressigyra globulus,Macrofauna,92782,21,Mollusca,Holotype diameter 5.4 mm
Gastropoda,Taxon16,Melanodrymia aurantiaca,Macrofauna,22821,4,Mollusca,Holotype 1.5 mm x 2.5 mm
Gastropoda,Taxon16,Protolira sp. SWA-2010,Macrofauna,22438,3,Mollusca,Holotype diameter 2.48 mm
Gastropoda,Taxon16,Abyssochrysos melanioides,Macrofauna,17688,4,Mollusca,Holotype diameter 12 mm
Polychaeta,Taxon16,Terebellida,Macrofauna,577152,40,Annelida,"Holotypes >1 mm, very little information on juveniles"
Polychaeta,Taxon16,Sabellida,Macrofauna,59328,8,Annelida,"Holotypes >1 mm, very little information on juveniles"
Polychaeta,Taxon16,Phyllodocida,Macrofauna,41713,29,Annelida,Wikipedia says they range from 1 few mm to over a m
Polychaeta,Taxon16,Capitellida,Macrofauna,13785,9,Annelida,"All holotypes are >1mm or ""long"""
Polychaeta,Taxon16,Eunicida,Macrofauna,12585,9,Annelida,All references I could find were >1 mm
Polychaeta,Taxon16,Spionida,Temporary,7001,22,Annelida,Spionids have been known to exist as larval Meiofaunafauna
Polychaeta,Taxon16,Protodrilus,Meiofauna,1134,2,Annelida,Giere 2009 lists the family as Meiobenthic
Cunina frugifera,Taxon14,Cunina frugifera,Jellyfish,193377,16,Cnidaria,Very little known jellyfish in meiobenthic record
